id,external_id,name,nombre_oficial,parent_iso,parent_state,compound_key,poblacion_wiki_2021,area_wiki_km2,densidad_wiki,poblacion_ine_2010,poblacion_ine_2020,poblacion_ine_2026,poblacion_ine_2050,poblacion_est_2026,area_est_km2,idh_est,pib_total_est_mm_usd,pib_pc_est_usd
92452058B71215590710272,ve_nueva_esparta_arismendi,Arismendi,Municipio Arismendi,VE-O,Nueva Esparta,nueva esparta__arismendi,35986,52,692.03,,,,,,,,,
92452058B99527238900768,ve_barinas_arismendi,Arismendi,Municipio Arismendi,VE-E,Barinas,barinas__arismendi,27544,7209,3.82,26147,31249,34066,41404,,,,,
92452058B10882972052933,ve_monagas_bolivar,Bolívar,Municipio Bolívar,VE-N,Monagas,monagas__bolivar,47609,345,137.99,37683,43448,46157,54652,,,,,
92452058B68095023694670,ve_aragua_bolivar,Bolívar,Municipio Bolívar,VE-D,Aragua,aragua__bolivar,44733,58,771.25,38430,42012,43623,47659,168732,376.38,0.668,566.1,3355
92452058B3006076397116,ve_trujillo_bolivar,Bolívar,Municipio Bolívar,VE-T,Trujillo,trujillo__bolivar,19626,208,94.35,16646,20067,21994,26720,,,,,
92452058B16204644970009,ve_sucre_bolivar,Bolívar,Municipio Bolívar,VE-R,Sucre,sucre__bolivar,27594,211,130.77,22702,26517,28733,35830,,,,,
92452058B57727814013353,ve_falcon_bolivar,Bolívar,Municipio Bolívar,VE-I,Falcón,falcon__bolivar,11345,295,38.45,8595,9978,10739,12391,,,,,
92452058B41519808204677,ve_barinas_bolivar,Bolívar,Municipio Bolívar,VE-E,Barinas,barinas__bolivar,64780,1047,61.87,51227,61648,67484,83396,,,,,
92452058B46129601263202,ve_yaracuy_bolivar,Bolívar,Municipio Bolívar,VE-U,Yaracuy,yaracuy__bolivar,37664,1087,34.64,32403,38508,41952,50359,,,,,
92452058B93734391596245,ve_tachira_bolivar,Bolívar,Municipio Bolívar,VE-S,Táchira,tachira__bolivar,70124,204,343.74,62384,66392,68533,78230,,,,,
